"Address","Indexability","Indexability Status","Crawl Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks"
"https://www.voiceoverguy.co.uk/123-casinos-voiceover","Indexable","","2","","3","3","0","1.110","43","33","0","15","15","0"
"https://www.voiceoverguy.co.uk/micropolitics-suzys-beauty-salon","Indexable","","2","","12","11","0","4.060","43","33","0","15","15","0"
"https://www.voiceoverguy.co.uk/judgment-apocalypse-survival-voice","Indexable","","2","","7","7","0","2.580","48","35","0","15","15","0"
"https://www.voiceoverguy.co.uk/european-collaboration-summit-patrick-stewart-voiceover","Indexable","","2","","10","9","0","3.320","47","37","0","15","15","0"
"https://www.voiceoverguy.co.uk/microsoft-cloud-explainer-video","Indexable","","2","","7","7","0","2.580","42","33","0","14","14","0"
"https://www.voiceoverguy.co.uk/what-is-explainer-video-voiceover","Indexable","","2","","9","9","0","3.320","42","32","0","14","14","0"
"https://www.voiceoverguy.co.uk/the-perfect-recording-studio-set-up","Indexable","","2","","6","6","0","2.210","40","33","0","14","14","0"
"https://www.voiceoverguy.co.uk/govind-trailer-deep-male-voice","Indexable","","2","","7","7","0","2.580","44","33","0","14","14","0"
"https://www.voiceoverguy.co.uk/which-recording-studio-software-is-best","Indexable","","2","","9","9","0","3.320","41","33","0","14","14","0"
"https://www.voiceoverguy.co.uk/champion-eleven-football-commentator-voice","Indexable","","2","","9","9","0","3.320","49","35","0","14","14","0"
"https://www.voiceoverguy.co.uk/on-the-tools-attenborough","Indexable","","2","","5","5","0","1.850","44","33","0","14","14","0"
"https://www.voiceoverguy.co.uk/european-collaboration-summit-tickets-voiceover","Indexable","","2","","8","8","0","2.950","44","34","0","14","14","0"
"https://www.voiceoverguy.co.uk/michelin-cross-climate-voiceover","Indexable","","2","","12","12","0","4.430","43","33","0","15","15","0"
"https://www.voiceoverguy.co.uk/morrisons-wonky-in-store-voiceovers","Indexable","","2","","7","7","0","2.580","43","33","0","15","15","0"
"https://www.voiceoverguy.co.uk/the-most-challenging-voiceover-job","Indexable","","2","","9","9","0","3.320","42","34","0","15","15","0"
"https://www.voiceoverguy.co.uk/faze-rug-chug-rug-g-fuel","Indexable","","2","","4","4","0","1.480","45","34","0","15","15","0"
"https://www.voiceoverguy.co.uk/boov-pop-game-trailer","Indexable","","2","","8","8","0","2.950","44","34","0","15","15","0"
"https://www.voiceoverguy.co.uk/virtual-voiceover-studio-online","Indexable","","2","","6","6","0","2.210","40","33","0","16","16","0"
"https://www.voiceoverguy.co.uk/fifa-22-goat-foat-sheffield-fc-promo-voice","Indexable","","2","","6","6","0","2.210","44","33","0","15","15","0"
"https://www.voiceoverguy.co.uk/shooting-business-voice","Indexable","","2","","8","8","0","2.950","43","34","0","14","14","0"
"https://www.voiceoverguy.co.uk/crowd-hub-x-explainer-video-voiceover","Indexable","","2","","14","14","0","5.170","43","33","0","14","14","0"
"https://www.voiceoverguy.co.uk/voice-of-venom","Indexable","","2","","7","7","0","2.580","41","33","0","14","14","0"
"https://www.voiceoverguy.co.uk/hotels-dot-com-what-else-could-go-wrong-voiceover","Indexable","","2","","10","10","0","3.690","45","34","0","14","14","0"
"https://www.voiceoverguy.co.uk/star-wars-character-voices","Indexable","","2","","9","9","0","3.320","42","33","0","15","15","0"
"https://www.voiceoverguy.co.uk/britains-got-talent-competition-voice","Indexable","","2","","8","7","0","2.580","41","34","0","15","15","0"
"https://www.voiceoverguy.co.uk/ford-trucks-international-a-million-thanks","Indexable","","2","","7","7","0","2.580","44","34","0","14","14","0"
"https://www.voiceoverguy.co.uk/dead-daises-promo-voice","Indexable","","2","","8","8","0","2.950","41","33","0","16","16","0"
"https://www.voiceoverguy.co.uk/pathe-news-jack-fm","Indexable","","2","","8","8","0","2.950","44","33","0","15","14","0"
"https://www.voiceoverguy.co.uk/walkers-crisps-spell-go","Indexable","","2","","5","5","0","1.850","43","34","0","14","14","0"
"https://www.voiceoverguy.co.uk/cbbc-pirate-week-voice","Indexable","","2","","11","10","0","3.690","43","34","0","16","16","0"
"https://www.voiceoverguy.co.uk/my-dpd-explainer-voice-over","Indexable","","2","","7","7","0","2.580","46","35","0","16","16","0"
"https://www.voiceoverguy.co.uk/voiceover-vox-award-winner-2018","Indexable","","2","","7","7","0","2.580","47","35","0","14","14","0"
"https://www.voiceoverguy.co.uk/opel-the-future-is-everyones","Indexable","","2","","7","7","0","2.580","44","33","0","15","15","0"
"https://www.voiceoverguy.co.uk/voiceover-services-uk","Indexable","","2","","10","9","0","3.320","49","33","0","14","14","0"
"https://www.voiceoverguy.co.uk/christmas-party-fireworks-santa-voice","Indexable","","2","","7","7","0","2.580","46","34","0","16","16","0"
"https://www.voiceoverguy.co.uk/barclaycard-fraud-fighter-tool-voiceover","Indexable","","2","","8","8","0","2.950","44","36","0","14","14","0"
"https://www.voiceoverguy.co.uk/warwings-game-trailer-voice","Indexable","","2","","15","15","0","5.540","45","33","0","14","14","0"
"https://www.voiceoverguy.co.uk/bmoji-app-voiceover","Indexable","","2","","4","4","0","1.480","46","35","0","14","14","0"
"https://www.voiceoverguy.co.uk/beccas-bunce-voice-of-ringo","Indexable","","2","","4","4","0","1.480","43","34","0","14","14","0"
"https://www.voiceoverguy.co.uk/psycho-circus-scary-evil-voice","Indexable","","2","","7","7","0","2.580","45","34","0","15","15","0"
"https://www.voiceoverguy.co.uk/thomas-the-tank-engine-voice-of-winston","Indexable","","2","","9","9","0","3.320","42","34","0","14","14","0"
"https://www.voiceoverguy.co.uk/wooky-hole-caves-quirky-voice","Indexable","","2","","4","4","0","1.480","44","34","0","15","15","0"
